"identifiant","activite","page_cible","emplacement","type","sujet_precis","fonction_pedagogique","public","caractere_obligatoire","source_souhaitee","exigences_scientifiques","exigences_techniques","metadonnees_necessaires","statut_scientifique","statut_juridique","statut_production","dossier_de_depot_attendu","nom_fichier_recommande","validation_humaine_requise","notes"
"A01-IMG-001","activite-01","ressources/activite-01-fiche-reperage.html","Planche humain","schema ou photo","Pied humain montrant la region du tarse","Situer le talus dans le pied humain","eleve; enseignant; musee","obligatoire","universite; institution anatomique","Anatomie correcte; orientation claire; region du tarse identifiable","Image nette; resolution impression A4; fond lisible","Auteur; institution; source; licence; modifications","prototype produit; validation anatomique requise","publiable sous conditions CC BY-SA","produit pour le kit v2","_private-inputs/activite-01/images/","schema-talus-humain-source.*","validation anatomique","Remplace par les schemas BodyParts3D documentes; ne pas presenter comme reference definitive avant validation humaine."
"A01-IMG-002","activite-01","ressources/activite-01-trouver-astragale.html","Lexique et correction","photo ou schema","Vue isolee d'un astragale humain ou animal","Donner un repere visuel fiable de l'os","eleve; enseignant","obligatoire","collection; universite; musee","Identification de l'os; orientation; echelle si possible","Image nette; detourage non trompeur; A4 lisible","Auteur; institution; inventaire si objet; licence","prototype produit; validation anatomique requise","publiable sous conditions CC BY-SA","produit pour le kit v2","_private-inputs/activite-01/images/","astragale-isole-source.*","validation anatomique ou archeozoologique","Vues isolees derivees de BodyParts3D; talus humain seulement et orientations documentees."
"A01-IMG-003","activite-01","ressources/activite-01-fiche-reperage.html","Planche mouton","photo ou schema","Membre posterieur de mouton ou squelette montrant le tarse","Comparer l'organisation humain/animal","eleve; musee","obligatoire","musee; universite; collection partenaire","Espece documentee; tarse visible; orientation explicite","Resolution impression; contraste suffisant","Auteur; institution; espece; licence; modifications","support regional produit; anatomie comparee a valider","publiable sous conditions CC BY-SA","remplacement partiel integre au kit v2","_private-inputs/activite-01/images/","membre-posterieur-mouton-source.*","validation archeozoologique","Le squelette MAV-USP permet une comparaison regionale mais pas l'identification precise du talus."
"A01-IMG-004","activite-01","ressources/activite-01-fiche-reperage.html","Troisieme mammifere","photo ou schema","Deuxieme mammifere de comparaison","Permettre le transfert de la methode d'observation","eleve; enseignant","recommande","collection disponible; banque institutionnelle","Animal coherent avec les collections ou sources disponibles","Meme logique visuelle que les autres supports","Auteur; institution; espece; licence","a verifier","a verifier","manquant","_private-inputs/activite-01/images/","comparaison-mammifere-02-source.*","validation archeozoologique","Choix de l'espece encore a decider."
"A01-3D-001","activite-01","ressources/activite-01-trouver-astragale.html","Bloc 3D reserve","modele 3D","Modele 3D de talus ou astragale","Comprendre le volume et les surfaces articulaires","eleve; musee; approfondissement","recommande","scan valide; depot scientifique; production interne validee","Objet identifie; echelle; orientation; origine claire","GLB ou GLTF; poids raisonnable; alternative textuelle","Auteur; institution; methode; licence; modifications","a trouver","a verifier","manquant","_private-inputs/activite-01/modeles-3d/","talus-ou-astragale-source.glb","validation anatomique et juridique","L'activite doit rester possible sans WebGL."
"A01-DOC-001","activite-01","ressources/activite-01-trouver-astragale.html","Sources et credits","document","Notice de credits et legendes validees","Rendre les supports verifiables et reutilisables","enseignant; musee","obligatoire","production interne a partir des sources validees","Legendes exactes; prudence des formulations","Markdown ou PDF source; table exploitable","Auteur; institution; date; licence; statut","produit; validation scientifique finale requise","conditions documentees; revue juridique requise","produit pour le kit v2","_private-inputs/activite-01/sources/","credits-et-licences-activite-01.*","validation scientifique et juridique","Notice integree a la source canonique au kit et aux registres; preuves a archiver fichier par fichier."
"A02-IMG-001","activite-02","ressources/activite-02-cartes-astragales.html","Cartes Os A a D","photo","Trois ou quatre astragales avec echelle et orientation","Comparer des formes a partir d'indices visibles","eleve; enseignant; musee","obligatoire","musee; universite; collection partenaire","Espece ou groupe; cote; orientation; echelle; incertitudes","Photos comparables; barre d'echelle; A4 lisible","Auteur; collection; inventaire; espece; licence","a trouver","a verifier","manquant","_private-inputs/activite-02/images/","astragale-os-a-source.*","validation archeozoologique","Inclure Os A, B, C et option D."
"A02-IMG-002","activite-02","ressources/activite-02-cartes-animaux.html","Cartes animaux","photo ou illustration validee","Animaux A a D correspondant aux os","Relier os, animal et hypothese avec prudence","eleve; famille","obligatoire","musee; institution; production interne validee","Correspondance documentee avec les os; pas de code graphique revelateur","Image nette; style coherent; impression A4","Auteur; source; licence; modifications","a trouver","a verifier","manquant","_private-inputs/activite-02/images/","animal-a-source.*","validation archeozoologique","Eviter que l'image donne la reponse par un indice artificiel."
"A02-IMG-003","activite-02","ressources/activite-02-guide-enseignant.html","Verification anatomique","photo ou schema","Squelettes ou pattes des animaux retenus","Appuyer le corrige et la mediation","enseignant; musee","obligatoire","source institutionnelle; collection validee","Anatomie et espece documentees; orientation claire","Resolution suffisante; details lisibles","Auteur; institution; espece; licence","a trouver","a verifier","manquant","_private-inputs/activite-02/images/","squelette-ou-patte-animal-a-source.*","validation archeozoologique","Peut rester dans le guide adulte."
"A02-IMG-004","activite-02","ressources/activite-02-corrige-evaluation.html","Niveau expert","photo detail","Surfaces articulaires des astragales","Distinguer indices utiles et criteres trompeurs","enseignant; musee; approfondissement","recommande","scan; macrophoto; publication","Details morphologiques visibles; orientation documentee","Macro nette; contraste; legende neutre","Auteur; source; licence; modifications","a produire ou trouver","a verifier","manquant","_private-inputs/activite-02/images/","detail-surfaces-articulaires-source.*","validation archeozoologique","Ne pas surcharger la fiche eleve."
