"id","activité","question","source_recherchee","publication_probable","raison","priorite","texte_integral_necessaire","moyen_obtention","statut"
"SRC-001","1","Quel schéma valide talus calcanéum tarse et talon pour 8-12 ans ?","référence anatomique ou schéma original validé","NCBI-TALUS comme appui textuel","remplacer la planche ancienne et soutenir la localisation","critique","oui pour la référence scientifique","source ouverte ou production validée par anatomiste","à obtenir"
"SRC-002","1","Le transfert humain mouton bovin est-il scientifiquement défendable avec les vues choisies ?","anatomie comparée ou validation spécialisée","à localiser","éviter une fausse homologie visuelle","haute","oui","recherche bibliographique ciblée ou avis anatomiste","à localiser"
"SRC-003","2","Quels critères et métadonnées permettent un corpus A-D adapté ?","publication archéozoologique et collection comparative","ZEDER-LAPHAM-2010; autres références taxonomiques à définir","construire les os et le corrigé","critique","oui","corpus partenaire et bibliographie primaire","partiel"
"SRC-004","2","Quelles pages de Zeder-Lapham appuient limites et fiabilité ?","article intégral local","ZEDER-LAPHAM-2010","corriger le résumé actuel","haute","oui","texte déjà présent sous _private-inputs/","disponible; pages relevées 1 3 7 18"
"SRC-005","2","Existe-t-il un astragale de girafe exploitable et documenté ?","notice et photographie institutionnelles","à localiser","ne retenir la girafe que si le support existe","basse","oui si cas retenu","institution ou base scientifique ouverte","à localiser"
"SRC-006","3","Quels passages anciens structurent l'enquête Achille ?","éditions scientifiques de l'Iliade de Stace et d'une source latine mentionnant talus","BC-001 comme cartographie","constituer le corpus antique","critique","oui","bibliothèque ou édition ouverte légale","à obtenir"
"SRC-007","3","Quelles pages de BC-001 valident chaque formulation ?","article intégral local","BC-001","corriger et attribuer précisément les affirmations","critique","oui","texte déjà présent sous _private-inputs/","disponible; repérage à finaliser"
"SRC-008","3","Quelle image antique peut être publiée et quelle est sa portée ?","notice institutionnelle et publication scientifique","BC-001; BC-005 si retenu","remplacer la carte antique vide","critique","oui","notice OA et texte scientifique intégral","à sélectionner"
"SRC-009","4","Quels deux ou trois cas réels remplacent A-E ?","publications archéologiques primaires et notices institutionnelles","BC-002; BC-004; BC-006; BC-007 ou BC-008","rendre l'activité testable","critique","oui","lectures ciblées et partenariat muséal","à sélectionner"
"SRC-010","4","Quel passage d'Énée le Tacticien est pertinent ?","édition critique et traduction validée","à localiser","encadrer le jeu de codage sans reconstitution abusive","haute","oui","édition légale en bibliothèque ou accès ouvert","à localiser"
"SRC-011","5","Le cas du mémorial de Thespies est-il exploitable ?","texte intégral paginé","BC-006","valider contexte funéraire et interprétation","critique","oui","actes en accès public déjà repérés","à lire"
"SRC-012","5","La base d'Olympie est-elle un cas pertinent ?","texte intégral paginé et notice d'objet","BC-004","documenter un objet en forme d'astragale","critique","oui","version éditeur institutionnelle ou auteur légale","à obtenir"
"SRC-013","5","Quel cas de Locres est le mieux documenté ?","texte intégral et notice de corpus","BC-007 ou BC-008","documenter contexte funéraire enfance et limites","critique","oui","éditeur dépôt institutionnel ou copie auteur légale","à obtenir"
"SRC-014","5","Quelles règles valeurs et gestes de lancer sont suffisamment établis ?","texte intégral paginé","BC-011; BC-019 si publié","éviter d'inventer une règle universelle","critique","oui","page éditeur puis version institutionnelle ou auteur","à obtenir"
"SRC-015","5","Quelles erreurs iconographiques peuvent être étudiées ?","texte intégral paginé","BC-005","sélectionner une image seulement si nécessaire","moyenne","oui","version éditoriale ou auteur légale","à obtenir si image retenue"
"SRC-016","5","Quels usages rituels ou amulettiques sont documentables ?","textes intégraux et notices","BC-002; BC-021; BC-022; BC-027","diversifier les cas sans généralisation","moyenne","oui","vérifier d'abord le statut de publication","partiel"
"SRC-017","5","Le cas médical d'Érétrie est-il publié et accessible ?","texte intégral et notice de contexte","BC-020","ne pas utiliser un titre forthcoming comme preuve","basse","oui","vérifier éditeur et statut avant recherche du texte","à localiser"
"SRC-018","transversal","Quels textes sont réellement nécessaires après sélection finale des cas ?","liste ciblée issue du manifeste de cas","BC-004 à BC-027","éviter les téléchargements indistincts","haute","selon cas retenus","page éditeur puis dépôt institutionnel puis copie auteur","en attente de sélection"
