path,title,h1_count,h1_text,h2_count,links_count,images_count,print_button,placeholder_count,source_box,document_actions,public_status,public_hash_matches_local,word_count,notes
index.html,"Histoires d'os | Astragale, archéozoologie et médiation",1,"Histoires d'os   L'astragale n'est pas seulement un osselet de jeu. C'est un indice pour lire les animaux,
            les corps, les gestes, les croyances et les récits à travers les époques.   Choisir un parcours  Consulter le glossaire     Observer Identifier la forme et les indices visibles.   Situer Replacer l'os dans le corps et dans le mouvement.   Interpréter Distinguer ce que l'os prouve de ce qu'il invite à questionner.        Parcours",7,28,2,no,0,no,no,200,True,1422,
ressources/activite-01-corrige-evaluation.html,Corrigé et évaluation | Activité 1,1,"Corrigé et évaluation  Ce corrigé explique le raisonnement attendu. Il ne remplace pas l'observation des images ou
          des spécimens réellement utilisés.   Activité Trouver l'astragale  Public Adultes  Usage Correction  Évaluation Formative     Retour à l'activité  Imprimer ou enregistrer en PDF",4,3,0,yes,0,no,yes,200,True,494,
ressources/activite-01-exemple-production.html,Exemple de production | Activité 1,1,"Exemple de production attendue  Ce texte fictif montre un raisonnement possible d'élève. Il ne doit pas être présenté comme
          l'unique bonne réponse.   Âge fictif 10 ans  Statut Exemple  But Montrer le raisonnement  À éviter Copie modèle     Retour à l'activité  Imprimer ou enregistrer en PDF",3,3,0,yes,0,no,yes,200,True,314,
ressources/activite-01-fiche-eleve-classe.html,Où se cache l'astragale ? | Activité 1,1,"Où se cache l'astragale ?  Tu vas chercher une zone du pied sans commencer par apprendre la réponse. Observe, propose
          une hypothèse, donne des indices, puis vérifie avec un document.   Public 8-12 ans  Durée 45 à 60 min  Lieu Classe  Mission Observer · Hypothèse · Vérifier     Retour à l'activité  Imprimer ou enregistrer en PDF",6,3,0,yes,1,no,yes,200,True,325,
ressources/activite-01-fiche-eleve-musee.html,Trouver l'astragale au musée | Activité 1,1,"Trouver l'astragale au musée  Ta mission est de retrouver la région dans laquelle se situe l'astragale, puis de chercher
          une région correspondante sur un deuxième mammifère.   Public 8-12 ans  Durée 30 à 45 min  Lieu Musée  Mission Repérer · Comparer · Justifier     Retour à l'activité  Imprimer ou enregistrer en PDF",7,3,0,yes,1,no,yes,200,True,388,
ressources/activite-01-fiche-reperage.html,Planche de repérage | Activité 1,1,"Repérer la région de l'astragale  Cette planche sert à localiser une région anatomique avant de prétendre identifier un os
          isolé. Elle peut être utilisée en classe ou au musée.   Usage Classe ou musée  Format A4 imprimable  But Annoter  Prudence Région ≠ os isolé     Retour à l'activité  Imprimer ou enregistrer en PDF",5,3,0,yes,3,no,yes,200,True,256,
ressources/activite-01-trouver-astragale.html,Activité 1 — Trouver l'astragale | Histoires d'os,1,"Trouver l'astragale  Cette activité transforme un petit os en enquête. Les élèves cherchent d'abord une région
          anatomique, formulent une hypothèse, justifient leur choix par des indices, puis transfèrent
          leur repère vers un autre mammifère. L'objectif n'est pas d'apprendre un nom par coeur, mais
          de comprendre comment une conclusion scientifique se construit avec prudence.   Public 8-12 ans  Musée 30 à 45 min  Classe 45 à 60 min  Finalité Observer · Justifier · Transférer     Retour au site  Imprimer ou enregistrer en PDF",8,15,0,yes,1,yes,yes,200,True,639,
ressources/activite-02-associer-astragale-animal.html,Activité 2 — À quel animal appartient cet astragale ? | Histoires d'os,1,"À quel animal appartient cet astragale ?  Cette activité invite les élèves à observer plusieurs astragales codés, à construire des
          critères communs, puis à proposer des associations avec des animaux. Elle apprend à comparer
          sans se fier uniquement à la taille ou à l'apparence générale, et à formuler une conclusion
          possible, probable ou vérifiée avec les ressources fournies.   Public 8-12 ans  Musée 30 à 45 min  Classe 45 à 60 min  Progression Observer · Comparer · Argumenter     Retour au site  Imprimer ou enregistrer en PDF",9,17,0,yes,1,yes,yes,200,True,637,
ressources/activite-02-cartes-animaux.html,Cartes des animaux | Activité 2,1,"Cartes des animaux  Ces cartes sont prévues pour trois animaux de base et une extension facultative. Les espèces
          ne sont pas fixées tant que les images et validations scientifiques ne sont pas disponibles.    Retour à l'activité  Imprimer ou enregistrer en PDF",5,3,0,yes,4,no,yes,200,True,259,
ressources/activite-02-cartes-astragales.html,Cartes des astragales | Activité 2,1,"Cartes des astragales  Les astragales sont présentés sous codes neutres. Les images définitives devront conserver
          une orientation, une échelle et une face comparables, ou expliquer clairement les différences.    Retour à l'activité  Imprimer ou enregistrer en PDF",5,3,0,yes,4,no,yes,200,True,204,
